57980 DEBUG [2019-06-26 09:12:20]  Successfully completed request
57980 DEBUG [2019-06-26 09:12:20]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
57980 DEBUG [2019-06-26 09:12:20]  Successfully completed request
57980 DEBUG [2019-06-26 09:12:20]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@380442b1
57980 DEBUG [2019-06-26 09:12:20]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@44a430f7
58585 DEBUG [2019-06-26 09:12:21]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@380442b1
58587 DEBUG [2019-06-26 09:12:21]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/js/xadmin.js]
58589 DEBUG [2019-06-26 09:12:21]  Looking up handler method for path /js/xadmin.js
58599 DEBUG [2019-06-26 09:12:21]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@44a430f7
58599 DEBUG [2019-06-26 09:12:21]  Did not find handler method for [/js/xadmin.js]
58599 DEBUG [2019-06-26 09:12:21]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/layui.js]
58599 DEBUG [2019-06-26 09:12:21]  Matching patterns for request [/js/xadmin.js] are [/**]
58599 DEBUG [2019-06-26 09:12:21]  Looking up handler method for path /lib/layui/layui.js
58599 DEBUG [2019-06-26 09:12:21]  URI Template variables for request [/js/xadmin.js] are {}
58599 DEBUG [2019-06-26 09:12:21]  Mapping [/js/xadmin.js] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
58600 DEBUG [2019-06-26 09:12:21]  Last-Modified value for [/js/xadmin.js] is: -1
58600 DEBUG [2019-06-26 09:12:21]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@4fde08c8
58600 DEBUG [2019-06-26 09:12:21]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/organization/companyApi.js]
58600 DEBUG [2019-06-26 09:12:21]  Looking up handler method for path /organization/companyApi.js
58602 DEBUG [2019-06-26 09:12:21]  Did not find handler method for [/lib/layui/layui.js]
58602 DEBUG [2019-06-26 09:12:21]  Matching patterns for request [/lib/layui/layui.js] are [/**]
58602 DEBUG [2019-06-26 09:12:21]  URI Template variables for request [/lib/layui/layui.js] are {}
58602 DEBUG [2019-06-26 09:12:21]  Mapping [/lib/layui/layui.js] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
58602 DEBUG [2019-06-26 09:12:21]  Last-Modified value for [/lib/layui/layui.js] is: -1
58607 DEBUG [2019-06-26 09:12:21]  Did not find handler method for [/organization/companyApi.js]
58607 DEBUG [2019-06-26 09:12:21]  Matching patterns for request [/organization/companyApi.js] are [/**]
58607 DEBUG [2019-06-26 09:12:21]  URI Template variables for request [/organization/companyApi.js] are {}
58607 DEBUG [2019-06-26 09:12:21]  Mapping [/organization/companyApi.js] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
58607 DEBUG [2019-06-26 09:12:21]  Last-Modified value for [/organization/companyApi.js] is: -1
58892 DEBUG [2019-06-26 09:12:21]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
58893 DEBUG [2019-06-26 09:12:21]  Successfully completed request
58893 DEBUG [2019-06-26 09:12:21]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@380442b1
58980 DEBUG [2019-06-26 09:12:21]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@380442b1
58981 DEBUG [2019-06-26 09:12:21]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/css/layui.css]
58982 DEBUG [2019-06-26 09:12:21]  Looking up handler method for path /lib/layui/css/layui.css
58985 DEBUG [2019-06-26 09:12:21]  Did not find handler method for [/lib/layui/css/layui.css]
58986 DEBUG [2019-06-26 09:12:21]  Matching patterns for request [/lib/layui/css/layui.css] are [/**]
58986 DEBUG [2019-06-26 09:12:21]  URI Template variables for request [/lib/layui/css/layui.css] are {}
58986 DEBUG [2019-06-26 09:12:21]  Mapping [/lib/layui/css/layui.css] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
58986 DEBUG [2019-06-26 09:12:21]  Last-Modified value for [/lib/layui/css/layui.css] is: -1
59570 DEBUG [2019-06-26 09:12:22]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
59570 DEBUG [2019-06-26 09:12:22]  Successfully completed request
59570 DEBUG [2019-06-26 09:12:22]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@380442b1
59588 DEBUG [2019-06-26 09:12:22]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
59588 DEBUG [2019-06-26 09:12:22]  Successfully completed request
59588 DEBUG [2019-06-26 09:12:22]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@4fde08c8
61425 DEBUG [2019-06-26 09:12:24]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
61425 DEBUG [2019-06-26 09:12:24]  Successfully completed request
61426 DEBUG [2019-06-26 09:12:24]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@44a430f7
61662 DEBUG [2019-06-26 09:12:24]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@44a430f7
61662 DEBUG [2019-06-26 09:12:24]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/lay/modules/table.js]
61663 DEBUG [2019-06-26 09:12:24]  Looking up handler method for path /lib/layui/lay/modules/table.js
61664 DEBUG [2019-06-26 09:12:24]  Did not find handler method for [/lib/layui/lay/modules/table.js]
61664 DEBUG [2019-06-26 09:12:24]  Matching patterns for request [/lib/layui/lay/modules/table.js] are [/**]
61664 DEBUG [2019-06-26 09:12:24]  URI Template variables for request [/lib/layui/lay/modules/table.js] are {}
61664 DEBUG [2019-06-26 09:12:24]  Mapping [/lib/layui/lay/modules/table.js] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
61664 DEBUG [2019-06-26 09:12:24]  Last-Modified value for [/lib/layui/lay/modules/table.js] is: -1
61848 DEBUG [2019-06-26 09:12:24]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@4fde08c8
61848 DEBUG [2019-06-26 09:12:24]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/lay/modules/form.js]
61848 DEBUG [2019-06-26 09:12:24]  Looking up handler method for path /lib/layui/lay/modules/form.js
61849 DEBUG [2019-06-26 09:12:24]  Did not find handler method for [/lib/layui/lay/modules/form.js]
61850 DEBUG [2019-06-26 09:12:24]  Matching patterns for request [/lib/layui/lay/modules/form.js] are [/**]
61850 DEBUG [2019-06-26 09:12:24]  URI Template variables for request [/lib/layui/lay/modules/form.js] are {}
61850 DEBUG [2019-06-26 09:12:24]  Mapping [/lib/layui/lay/modules/form.js] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
61850 DEBUG [2019-06-26 09:12:24]  Last-Modified value for [/lib/layui/lay/modules/form.js] is: -1
63310 DEBUG [2019-06-26 09:12:25]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
63313 DEBUG [2019-06-26 09:12:25]  Successfully completed request
63314 DEBUG [2019-06-26 09:12:25]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@4fde08c8
63592 DEBUG [2019-06-26 09:12:26]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
63593 DEBUG [2019-06-26 09:12:26]  Successfully completed request
63593 DEBUG [2019-06-26 09:12:26]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@44a430f7
64414 DEBUG [2019-06-26 09:12:27]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@44a430f7
64414 DEBUG [2019-06-26 09:12:27]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/font/iconfont.woff2]
64415 DEBUG [2019-06-26 09:12:27]  Looking up handler method for path /lib/layui/font/iconfont.woff2
64416 DEBUG [2019-06-26 09:12:27]  Did not find handler method for [/lib/layui/font/iconfont.woff2]
64416 DEBUG [2019-06-26 09:12:27]  Matching patterns for request [/lib/layui/font/iconfont.woff2] are [/**]
64416 DEBUG [2019-06-26 09:12:27]  URI Template variables for request [/lib/layui/font/iconfont.woff2] are {}
64416 DEBUG [2019-06-26 09:12:27]  Mapping [/lib/layui/font/iconfont.woff2] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
64419 DEBUG [2019-06-26 09:12:27]  Last-Modified value for [/lib/layui/font/iconfont.woff2] is: -1
64481 DEBUG [2019-06-26 09:12:27]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@4fde08c8
64481 DEBUG [2019-06-26 09:12:27]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/lib/layui/lay/modules/layer.js]
